20
0 1 2
0 18 3
0 16 5
0 9 4
1 0 2
1 2 3
1 19 2
1 7 2.5
2 1 3
2 3 2
2 7 1.5
3 2 2
3 4 1.5
3 19 2
4 3 1.5
4 5 1
4 7 3
5 4 1
5 6 1
5 13 3
6 5 1
6 12 2
6 13 2.5
6 17 3
7 1 2.5
7 2 1.5
7 4 3
7 8 1
8 7 1
8 9 1
8 11 1.5
9 0 4
9 8 1
9 10 1
10 9 1
10 11 2
10 14 2
11 8 1.5
11 10 2
11 12 2
11 15 1.5
12 6 2
12 11 2
12 13 2
12 16 1.5
13 5 3
13 6 2.5
13 12 2
13 17 1.5
14 10 2
14 15 1.5
15 11 1.5
15 14 1.5
15 16 2
16 0 5
16 12 1.5
16 15 2
16 17 2.5
17 6 3
17 13 1.5
17 16 2.5
18 0 3
18 19 3
19 1 2
19 3 2
19 18 3
